primary_key	id	note	half_steps_from_C	string	fret	note_sheet	guitar_picture_question	guitar_picture_answer	note_sound	tags		
0_PRE_9OQxf83oaT	0	E	4	E	0	"<img src=""PRE_9OQxf83oaT_note_sheet_0.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_question_0.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_answer_0.png"">"	[sound:PRE_9OQxf83oaT_note_sound_0.wav]	fret_0 string_E 		
1_PRE_9OQxf83oaT	1	F	5	E	1	"<img src=""PRE_9OQxf83oaT_note_sheet_1.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_question_1.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_answer_1.png"">"	[sound:PRE_9OQxf83oaT_note_sound_1.wav]	fret_1 string_E 		
2_PRE_9OQxf83oaT	2	F#/Gb	6	E	2	"<img src=""PRE_9OQxf83oaT_note_sheet_2.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_question_2.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_answer_2.png"">"	[sound:PRE_9OQxf83oaT_note_sound_2.wav]	fret_2 string_E 		
3_PRE_9OQxf83oaT	3	G	7	E	3	"<img src=""PRE_9OQxf83oaT_note_sheet_3.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_question_3.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_answer_3.png"">"	[sound:PRE_9OQxf83oaT_note_sound_3.wav]	fret_3 string_E 		
4_PRE_9OQxf83oaT	4	G#/Ab	8	E	4	"<img src=""PRE_9OQxf83oaT_note_sheet_4.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_question_4.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_answer_4.png"">"	[sound:PRE_9OQxf83oaT_note_sound_4.wav]	fret_4 string_E 		
5_PRE_9OQxf83oaT	5	A	9	A	0	"<img src=""PRE_9OQxf83oaT_note_sheet_5.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_question_5.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_answer_5.png"">"	[sound:PRE_9OQxf83oaT_note_sound_5.wav]	fret_0 string_A 		
6_PRE_9OQxf83oaT	6	A#/Bb	10	A	1	"<img src=""PRE_9OQxf83oaT_note_sheet_6.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_question_6.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_answer_6.png"">"	[sound:PRE_9OQxf83oaT_note_sound_6.wav]	fret_1 string_A 		
7_PRE_9OQxf83oaT	7	B	11	A	2	"<img src=""PRE_9OQxf83oaT_note_sheet_7.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_question_7.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_answer_7.png"">"	[sound:PRE_9OQxf83oaT_note_sound_7.wav]	fret_2 string_A 		
8_PRE_9OQxf83oaT	8	'C	'0	A	3	"<img src=""PRE_9OQxf83oaT_note_sheet_8.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_question_8.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_answer_8.png"">"	[sound:PRE_9OQxf83oaT_note_sound_8.wav]	fret_3 string_A 		
9_PRE_9OQxf83oaT	9	'C#/Db	'1	A	4	"<img src=""PRE_9OQxf83oaT_note_sheet_9.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_question_9.png"">"	"<img src=""PRE_9OQxf83oaT_guitar_picture_answer_9.png"">"	[sound:PRE_9OQxf83oaT_note_sound_9.wav]	fret_4 string_A 		
